V,Cr,Ti,W,Zr,dose_d30,dose_d365,dose_d1825,dose_d36500,He_2y,H_2y,dose_d30_pass,dose_d365_pass,dose_d1825_pass,dose_d36500_pass,He_2y_pass,H_2y_pass,all_pass
0.875,0.057,0.044,0.01,0.014,488.0929713200173,0.04582865820950216,1.1862652054107656e-05,1.2743376751715312e-06,268.5594253070334,729.943944267997,True,True,True,True,True,True,True
0.829,0.05,0.004,0.111,0.006,164.70826540267157,0.13290321112159398,1.9255375174886978e-05,9.352850910169301e-08,234.29787077157792,631.5394932174754,True,True,True,True,True,True,True
0.985,0.0,0.0,0.0,0.015,537.4932263848984,0.016262547564137583,1.53094289186597e-07,3.973914239772092e-09,246.14608420399568,635.2430105284315,True,True,True,True,True,True,True
0.884,0.018000000000000002,0.04,0.02,0.038,1266.3132617066785,0.08048219262615208,1.2731746818883404e-05,1.1100985206700023e-06,254.28694806924426,673.6469266319514,False,True,True,True,True,True,False
0.884,0.093,0.014,0.005,0.004,142.3633687638103,0.017200513518898196,4.382736700055613e-06,4.154766390287564e-07,271.16892004683183,750.6792562783545,True,True,True,True,True,True,True
0.888,0.017,0.035,0.038,0.022,707.0302401357594,0.08468810696222928,1.4706840992948676e-05,9.383949712295866e-07,249.91957078898048,659.8716957614173,True,True,True,True,True,True,True
0.904,0.034,0.005,0.028,0.029,949.9649248707433,0.06910539107013111,6.987571148642113e-06,1.394553248932166e-07,247.90944667220424,659.8891073932277,True,True,True,True,True,True,True
0.984,0.0,0.002,0.003,0.011,392.08743685682384,0.017197301836506317,1.240900467529249e-06,6.30055254852671e-08,246.28826893080122,635.5925341938965,True,True,True,True,True,True,True
0.9339999999999999,0.016,0.003,0.003,0.044,1527.9129182454703,0.051687677001265475,1.7151087368382046e-06,8.999120172281642e-08,247.71555565034924,650.6120210993822,False,True,True,True,True,True,False
0.9390000000000001,0.001,0.03,0.023,0.007,237.46148970307885,0.050890611840801285,1.1189576167234475e-05,8.461370838287915e-07,249.4805039073178,648.2095555499488,True,True,True,True,True,True,True
0.926,0.006,0.022,0.011,0.035,1197.9479052433842,0.06011463495768063,7.3251021497076524e-06,6.281338958269772e-07,249.1427879035988,651.0475717233892,False,True,True,True,True,True,False
0.906,0.039,0.026000000000000002,0.011,0.018000000000000002,623.55779915962,0.044578579797885216,8.17467109299464e-06,7.501949367316533e-07,259.1930338477404,693.8401017766632,True,True,True,True,True,True,True
0.978,0.002,0.0,0.0,0.02,713.8172105217665,0.021588077815561654,1.9615628707515706e-07,3.930681533026271e-09,246.22492223404635,636.9143699722748,True,True,True,True,True,True,True
0.865,0.017,0.044,0.074,0.0,1.9599214590922849,0.10676531113127127,2.1705260484362368e-05,1.0966276541660434e-06,245.7549171330427,648.77837289545,True,True,True,True,True,True,True
0.91,0.004,0.019,0.046,0.021,661.3936386199041,0.08726719739584012,1.282285103111672e-05,5.011459715939936e-07,241.03250528853422,627.5793659712649,True,True,True,True,True,True,True
0.978,0.0,0.0,0.0,0.022,784.0467301550093,0.023708470599907907,2.0938936146838864e-07,3.925037248448174e-09,245.60220143868202,634.4004381952229,True,True,True,True,True,True,True
0.979,0.0,0.0,0.0,0.021,748.987919611141,0.02264980935451691,2.070018718938866e-07,3.93199080366606e-09,245.67815604170463,634.519643353208,True,True,True,True,True,True,True
0.823,0.018000000000000002,0.033,0.125,0.001,28.892940711687324,0.14929389928136044,2.57414900897527e-05,7.345577095179847e-07,231.48288375691948,611.0822905115401,True,True,True,True,True,True,True
0.961,0.003,0.0,0.0,0.036000000000000004,1269.068816425167,0.038351094074885114,3.333194861646097e-07,3.8165074518144816e-09,245.2127139646236,636.1203498586506,False,True,True,True,True,True,False
0.991,0.003,0.0,0.0,0.006,216.4966650898631,0.006566165585206,8.511329256555081e-08,4.024926858243188e-09,247.54496260263275,639.7377923728446,True,True,True,True,True,True,True
0.991,0.0,0.0,0.0,0.009000000000000001,324.01429143644594,0.009813948939076443,1.0661557419439869e-07,4.016199156849318e-09,246.61401125036335,635.9663759785541,True,True,True,True,True,True,True
0.8360000000000001,0.078,0.041,0.044,0.001,33.476578934675445,0.07442351798446936,1.694912394238137e-05,1.0957461848047128e-06,265.9677837420227,733.0803945802553,True,True,True,True,True,True,True
0.854,0.054,0.011,0.051000000000000004,0.03,924.6792519712075,0.0975735367877261,1.209368396106801e-05,2.8540635017773187e-07,248.81106465750668,673.9227629829575,True,True,True,True,True,True,True
0.964,0.002,0.017,0.007,0.01,353.0321583220446,0.027575612032963527,5.371112134790246e-06,5.009491691656393e-07,249.77830615885745,647.8008204385717,True,True,True,True,True,True,True
0.991,0.0,0.003,0.0,0.006,216.5692558097751,0.0077165306921684156,7.48623566650757e-07,9.37087046620497e-08,247.61622572591995,638.7586963078963,True,True,True,True,True,True,True
0.967,0.005,0.011,0.014,0.003,104.78638947206969,0.027930868514631377,5.466362812516501e-06,3.2090252310683305e-07,247.8889236991583,643.104290426049,True,True,True,True,True,True,True
