Name,V,Cr,Ti,W,Si,Fe,Al,Zr,Mo,C,N,O,H,at/wt,Hardness(VHN),Yield_Strength(MPa),UTS,DBTT(C),Grain Size (um),Reference,DBTT Reference,DBTT Author/notes,Yield Strength Reference ,Yield Strength Author,Notes,,
V-4Cr-2Ti,94.164,3.89,1.92,0,0,0,0,0,,0.008,0.003,0.015,0,wt,111.4,250,,,13,shenEffectsTitaniumConcentration2022,,,,,,,
V-4Cr-3Ti,93.062,3.92,2.99,0,0,0,0,0,,0.009,0.003,0.016,0,wt,122.2,260,,,12.2,shenEffectsTitaniumConcentration2022,,,,,,,
V-4Cr-4Ti,91.971,4.11,3.89,0,0,0,0,0,,0.008,0.003,0.018,0,wt,137.3,297,,,14.6,shenEffectsTitaniumConcentration2022,,,,,,,
V,98.375,0,0,0,0,0,0,0,,0.36,0.161,1.101,0.003,wt,105,,,,,loomisRelationshipHardnessTensile1992,,loomisRelationshipHardnessTensile1992,,,BL 19,,
V,99.8421,0,0,0,0.037,0,0,0,,0.056,0.0049,0.057,0.003,wt,100,275,,-210,,loomisRelationshipHardnessTensile1992,"B.A. Loomis et al. /Journal of Nuclear Materials 212-215 (1994) 799-803, Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys ",loomisRelationshipHardnessTensile1992,,,BL 51,,
V-1Ti,98.287,0.01,1,0,0.105,0,0,0,,0.235,0.13,0.23,0.003,wt,125,260,,-222,,loomisRelationshipHardnessTensile1992,"B.A. Loomis et al. /Journal of Nuclear Materials 212-215 (1994) 799-803, Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys ",loomisRelationshipHardnessTensile1992,,,BL 50,,
V-3Ti,96.246,0.01,3.1,0,0.066,0,0.07,0,,0.109,0.086,0.31,0.003,wt,140,295,,-222,,loomisRelationshipHardnessTensile1992,"B.A. Loomis et al. /Journal of Nuclear Materials 212-215 (1994) 799-803, Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys ",loomisRelationshipHardnessTensile1992,,,BL 62,,
V-3Ti-0.3Si,95.812,0.005,3.1,0,0.25,0,0,0,,0.31,0.31,0.21,0.003,wt,170,393,,,,loomisRelationshipHardnessTensile1992,,loomisRelationshipHardnessTensile1992,,,BL 27,,
V-3Ti-0.5Si,95.442,0.005,3.1,0,0.54,0,0,0,,0.14,0.19,0.58,0.003,wt,150,473,,,,loomisRelationshipHardnessTensile1992,,loomisRelationshipHardnessTensile1992,,,BL 42,,
V-3Ti-1Si,95.947,0,2.5,0,0.99,0,0,0,,0.09,0.125,0.345,0.003,wt,168,421,,-222,,loomisRelationshipHardnessTensile1992,"B.A. Loomis et al. /Journal of Nuclear Materials 212-215 (1994) 799-803, Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys ",loomisRelationshipHardnessTensile1992,,,BL 45,,
V-5Ti,94.95294037,0.01,4.6,0,0.015,0,0,0,,0.1,0.052,0.27,0.000059634,wt,147,336,,-220,,loomisRelationshipHardnessTensile1992,Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys,loomisRelationshipHardnessTensile1992,,,BL 46,,
V-5Ti,94.951291,0.01,4.6,0,0.015,0,0,0,,0.1,0.052,0.27,0.001709,wt,147,336,,-154,,loomisRelationshipHardnessTensile1992,Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys,loomisRelationshipHardnessTensile1992,,,BL 46,,
V-5Ti,91.465,0.01,4.9,0,0.022,0.78,0,0,,0.47,0.53,1.82,0.003,wt,155,,,,,loomisRelationshipHardnessTensile1992,,loomisRelationshipHardnessTensile1992,,,BL 11,,
V-10Ti,87.0225,0.01,9.8,0,0.0245,0.63,0,0,,0.39,0.45,1.67,0.003,wt,175,435,,-191,,loomisRelationshipHardnessTensile1992,Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys,loomisRelationshipHardnessTensile1992,,,BL 12,,
V-20Ti,80.864,0.015,17.7,0,0.048,0,0,0,,0.38,0.16,0.83,0.003,wt,274,599,,-43,,loomisRelationshipHardnessTensile1992,Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys,loomisRelationshipHardnessTensile1992,,,BL 15,,
V-20Ti,78.469,0,20.4,0,0,0,0,0,,0.305,0.243,0.58,0.003,wt,269,,,,,loomisRelationshipHardnessTensile1992,,loomisRelationshipHardnessTensile1992,,,BL 16,,
V-4Cr-4Ti,90.74,4.1,4.3,0,0.087,0,0,0,,0.2,0.22,0.35,0.003,wt,171,387,,-218,,loomisRelationshipHardnessTensile1992,Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys,loomisRelationshipHardnessTensile1992,,,BL 47,,
V-8Cr-6Ti,85.684,7.9,5.7,0,0.036,0,0,0,,0.127,0.15,0.4,0.003,wt,177,425,,-87,,loomisRelationshipHardnessTensile1992,Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys,loomisRelationshipHardnessTensile1992,,,BL 49,,
V-9Cr-5Ti,85.50494052,9.2,4.9,0,0.034,0,0,0,,0.1,0.031,0.23,0.00005948,wt,192,440,,-60,,loomisRelationshipHardnessTensile1992,Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys ,loomisRelationshipHardnessTensile1992,,,BL 43,,
V-9Cr-5Ti,85.503672,9.2,4.9,0,0.034,0,0,0,,0.1,0.031,0.23,0.001328,wt,192,440,,-52,,loomisRelationshipHardnessTensile1992,Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys ,loomisRelationshipHardnessTensile1992,,,BL 43,,
V-12Cr-5Ti,83.43,10.9,5,0,0.027,0,0,0,,0.09,0.08,0.47,0.003,wt,201,491,,,,loomisRelationshipHardnessTensile1992,,loomisRelationshipHardnessTensile1992,,,BL 40,,
V-15Cr,85.0225,14.1,0.0005,0,0.005,0,0.27,0,,0.2,0.069,0.33,0.003,wt,177,,,,,loomisRelationshipHardnessTensile1992,,loomisRelationshipHardnessTensile1992,,,BL 5,,
V-15Cr-0.3Ti,84.388,14.4,0.3,0,0.005,0,0.33,0,,0.12,0.064,0.39,0.003,wt,175,,,,,loomisRelationshipHardnessTensile1992,,loomisRelationshipHardnessTensile1992,,,BL 25,,
V-15Cr-1Ti,83.796,14.1,1,0,0.005,0,0.31,0,,0.14,0.086,0.56,0.003,wt,190,,,,,loomisRelationshipHardnessTensile1992,,loomisRelationshipHardnessTensile1992,,,BL 26,,
V-15Cr-5Ti,80.352,13.7,4.8,0,0.115,0,0,0,,0.18,0.51,0.34,0.003,wt,225,,,,,loomisRelationshipHardnessTensile1992,,loomisRelationshipHardnessTensile1992,,,BL 21,,
V-15Cr-5Ti,80.9894,13.4,5.1,0,0.0056,0,0,0,,0.15,0.052,0.3,0.003,wt,232,,,,,loomisRelationshipHardnessTensile1992,,loomisRelationshipHardnessTensile1992,,,BL 22,,
V-15Cr-5Ti,79.904,12.9,5.9,0,0.123,0,0,0,,0.28,0.49,0.4,0.003,wt,234,533,,,,loomisRelationshipHardnessTensile1992,,loomisRelationshipHardnessTensile1992,,,BL 23,,
V-14Cr-5Ti,79.210938,13.5,5.2,0,0.039,0,0,0,,0.5,0.36,1.19,0.000062,wt,216,545,,-21,,loomisRelationshipHardnessTensile1992,Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys ,loomisRelationshipHardnessTensile1992,,,BL 24,30appm H,
V-14Cr-5Ti,79.209788,13.5,5.2,0,0.039,0,0,0,,0.5,0.36,1.19,0.001212,wt,216,545,,117,,loomisRelationshipHardnessTensile1992,Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys ,loomisRelationshipHardnessTensile1992,,,BL 24,590appm H,
V-15Cr-5Ti,79.911,14.5,5,0,0.04,0,0,0,,0.12,0.096,0.33,0.003,wt,221,570,,-11,,loomisRelationshipHardnessTensile1992,Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys,loomisRelationshipHardnessTensile1992,,,BL 41,,
V-4Cr-4Ti (NIFS-HEAT-1),91.6992,4.12,4.13,0,,,0.0119,,,0.0056,0.0103,0.0181,0.0049,wt,133,,,,,nagasaka601VanadiumNuclear2020,,,,,VHN taken on 1225K annealing temperature for 1h,,
V-4Cr-4Ti (NIFS-HEAT-2)(NH2),91.91875,4.02,3.98,0,0.027,0.0049,0.0059,0.00025,0.0024,0.0069,0.0122,0.0148,0.0069,wt,124,,,-193.8864,,nagasaka601VanadiumNuclear2020,6.01 Vanadium for Nuclear Systems,"Annealing temperature does has an effect on DBTT. Reference: There is only a moderate shift of DBTT from 1073 to 1273 K, The effect of final heat treatment temperature on radiation response of V–4Cr–4Ti",,,VHN taken on 1224K annealing temperature for 1h,,
NIFS-HEAT-2,91.9458,4,4.02,0,0,0,0,0,,0.0051,0.0123,0.0139,0.0029,wt,238,,,-84.15,29,Impact property of low-activation vanadium alloy after laser welding and heavy neutron irradiation,Impact property of low-activation vanadium alloy after laser welding and heavy neutron irradiation,"Takuya Nagasaka, Takeo Muroga, Hideo Watanabe, Takeshi Miyazawa, Masanori Yamazaki, Kenji Shinozaki",,,referred to as base metal,"Annealed at 720K, irradiated at 5.3 dpa",Seemed the most normal
NIFS-HEAT-2,91.9429,4,4.02,0,0,0,0,0,,0.0049,0.0129,0.0158,0.0035,wt,266,,,58.85,29,Impact property of low-activation vanadium alloy after laser welding and heavy neutron irradiation,Impact property of low-activation vanadium alloy after laser welding and heavy neutron irradiation,"Takuya Nagasaka, Takeo Muroga, Hideo Watanabe, Takeshi Miyazawa, Masanori Yamazaki, Kenji Shinozaki",,,referred to as weld metal,"Annealed at 720K, irradiated at 5.3 dpa",Seemed the most normal
V-4Cr-4Ti (US832665),92.4347,3.25,4.05,0.0025,0.073,0.02,0.0355,0.04,0.03,0.017,0.01,0.033,0.0043,wt,129,,,,,nagasaka601VanadiumNuclear2020,6.01 Vanadium for Nuclear Systems,Impact property of low-activation vanadium alloy after laser welding and heavy neutron irradiation,,,VHN taken on 1278K annealing temperature for 1h,,
V-4Cr-4Ti (US832864),92.2732,3.8,3.8,0,0.0273,0.0228,0.0193,0,0.005,0.0037,0.013,0.0357,,wt,,,,42.85,,nagasaka601VanadiumNuclear2020,6.01 Vanadium for Nuclear Systems,,,,,,
V-4Cr-4Ti (RF-VVC2),91.3833,4.21,4.36,0,,,0.0027,,,0.013,0.011,0.02,,wt,135,,,,,nagasaka601VanadiumNuclear2020,6.01 Vanadium for Nuclear Systems,,,,VHN taken on 1276K annealing temperature for 1h,,
V-4Cr-4Ti (RF-VVC3),91.517,3.76,4.64,0,,,0.024,,,0.029,0.01,0.02,,wt,,,,,,nagasaka601VanadiumNuclear2020,6.01 Vanadium for Nuclear Systems,,,,,,
V-4Cr-4Ti (SWIP-30),92.1492,3.81,3.92,0,0.059,0.0053,0.01,0.001,0.0035,0.013,0.002,0.027,,wt,132,,,,,nagasaka601VanadiumNuclear2020,6.01 Vanadium for Nuclear Systems,Hardness in HV,"Fabrication using electron beam melting of a V–4Cr–4Ti alloy and its thermo-mechanical strengthening study H.Y. Fu, J.M. Chen, P.F. Zheng, T. Nagasaka, T. Muroga, Z.D. Li, S. Cui, Z.Y. Xu",,,,
V-4Cr-4Ti (CEA-J57),92.19,3.76,3.93,0,0.031,0.012,0.019,0,0.011,0.007,0.011,0.029,,wt,126,,,,,nagasaka601VanadiumNuclear2020,6.01 Vanadium for Nuclear Systems,,,,VHN taken on 1274K annealing temperature for 1h,,
,97.686,0,2.314,,,,,,,,,,,wt,0,0,,-170,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
,95.55102,0,4.44898,,,,,,,,,,,wt,0,0,,-175,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
,84.8002,0,15.1998,,,,,,,,,,,wt,0,0,,-52,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
,92.6976,3.81915,3.48325,,,,,,,,,,,wt,0,0,,-166,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
,81.28071,6.58452,12.13477,,,,,,,,,,,wt,0,0,,11,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
,86.91504,8.84546,4.2395,,,,,,,,,,,wt,0,0,,-55,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
,82.97074,9.2241,7.80516,,,,,,,,,,,wt,0,0,,1,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
,83.0076,12.6081,4.3843,,,,,,,,,,,wt,0,0,,-15,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
,82.27083,13.4989,4.23027,,,,,,,,,,,wt,0,0,,-15,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
