nuclides,reactions,groups,xs
Ac227,"(n,p)",1,0.0
Ac227,"(n,3n)",1,0.0
Ac227,"(n,gamma)",1,359.0
Ac227,"(n,4n)",1,0.0
Ac227,"(n,t)",1,0.0
Ac227,fission,1,0.0
Ac228,"(n,2n)",1,0.0
Ac228,"(n,d)",1,0.0
Ac228,"(n,a)",1,6.765e-08
Ac228,"(n,p)",1,0.0
Ac228,"(n,3n)",1,0.0
Ac228,"(n,gamma)",1,3.473
Ac228,"(n,4n)",1,0.0
Ac228,"(n,t)",1,0.0
Ac228,fission,1,0.0
Ac229,"(n,2n)",1,0.0
Ac229,"(n,d)",1,0.0
Ac229,"(n,a)",1,361.1
Ac229,"(n,p)",1,0.0
Ac229,"(n,3n)",1,0.0
Ac229,"(n,gamma)",1,47.26
Ac229,"(n,4n)",1,0.0
Ac229,"(n,t)",1,0.0
Ac229,fission,1,0.0
Ac230,"(n,2n)",1,0.0
Ac230,"(n,d)",1,0.0
Ac230,"(n,a)",1,3.751e-09
Ac230,"(n,p)",1,0.0
Ac230,"(n,3n)",1,0.0
Ac230,"(n,gamma)",1,7.006
Ac230,"(n,4n)",1,0.0
Ac230,"(n,t)",1,0.0
Ac230,fission,1,0.0
Ac231,"(n,2n)",1,0.0
Ac231,"(n,d)",1,0.0
Ac231,"(n,a)",1,2.658e-12
Ac231,"(n,p)",1,0.0
Ac231,"(n,3n)",1,0.0
Ac231,"(n,gamma)",1,3.254
Ac231,"(n,4n)",1,0.0
Ac231,"(n,t)",1,0.0
Ac231,fission,1,0.0
Ac232,"(n,2n)",1,0.0
Ac232,"(n,d)",1,0.0
Ac232,"(n,a)",1,1.954e-09
Ac232,"(n,p)",1,0.0
Ac232,"(n,3n)",1,0.0
Ac232,"(n,gamma)",1,80.55
Ac232,"(n,4n)",1,0.0
Ac232,"(n,t)",1,0.0
Ac232,fission,1,0.0
Ac233,"(n,2n)",1,0.0
Ac233,"(n,d)",1,0.0
Ac233,"(n,a)",1,0.0001428
Ac233,"(n,p)",1,0.0
Ac233,"(n,3n)",1,0.0
Ac233,"(n,gamma)",1,9.159
Ac233,"(n,4n)",1,0.0
Ac233,"(n,t)",1,0.0
Ac233,fission,1,0.0
Ac234,"(n,2n)",1,0.0
Ac234,"(n,d)",1,0.0
Ac234,"(n,a)",1,0.0
Ac234,"(n,p)",1,0.0
Ac234,"(n,3n)",1,0.0
Ac234,"(n,gamma)",1,51.39
Ac234,"(n,4n)",1,0.0
Ac234,"(n,t)",1,0.0
Ac234,fission,1,0.0
Ac235,"(n,2n)",1,0.0
Ac235,"(n,d)",1,0.0
Ac235,"(n,a)",1,0.0
Ac235,"(n,p)",1,0.0
Ac235,"(n,3n)",1,0.0
Ac235,"(n,gamma)",1,8.696
