V,Cr,Ti,W,Zr,x_V,x_Cr,x_Ti,x_W,x_Zr,phase_count,dominant_phase,single_phase,phases,iter
0.957,0.019,0.005,0.006,0.013000000000000001,0.957,0.019,0.005,0.006,0.013000000000000001,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9803446045255624, ""C15_LAVES#1"": 0.014012006332741026, ""FCC_L12#1"": 0.000644922894078178, ""HCP_A3#1"": 0.002105658405204416, ""HCP_A3#2"": 0.002892807842413944}",14
0.952,0.016,0.015,0.009000000000000001,0.008,0.952,0.016,0.015,0.009000000000000001,0.008,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9944506398171636, ""FCC_L12#1"": 0.0006451333329828812, ""HCP_A3#1"": 0.0028422187671373533, ""HCP_A3#2"": 0.002062008082716496}",14
0.964,0.016,0.008,0.008,0.004,0.964,0.016,0.008,0.008,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9958017815593188, ""FCC_L12#1"": 0.0006207583903360729, ""HCP_A3#1"": 0.002323941653995697, ""HCP_A3#2"": 0.0009921136114870782, ""ZRO2_MONO#1"": 0.0002614047848625551}",14
0.964,0.012,0.004,0.006,0.014,0.964,0.012,0.004,0.006,0.014,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9799183798576666, ""C15_LAVES#1"": 0.01417358928218449, ""FCC_L12#1"": 0.0006486377632096972, ""HCP_A3#1"": 0.0030382699190504127, ""HCP_A3#2"": 0.0022211231778889403}",14
0.958,0.019,0.004,0.008,0.011,0.958,0.019,0.004,0.008,0.011,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9859225460029277, ""C15_LAVES#1"": 0.008449206906309903, ""FCC_L12#1"": 0.0006467401419162092, ""HCP_A3#1"": 0.0028831695014680204, ""HCP_A3#2"": 0.0020983374473784655}",14
0.968,0.011,0.012,0.004,0.005,0.968,0.011,0.012,0.004,0.005,4,BCC_B2#1,True,"{""BCC_B2#1"": 0.9952898014868798, ""FCC_L12#1"": 0.0006198490285916872, ""HCP_A3#1"": 0.0016856736211659194, ""HCP_A3#2"": 0.0024046758633625024}",14
0.976,0.007,0.008,0.004,0.005,0.976,0.007,0.008,0.004,0.005,4,BCC_B2#1,True,"{""BCC_B2#1"": 0.9952852901617909, ""FCC_L12#1"": 0.0006202073875257232, ""HCP_A3#1"": 0.0016864670275834597, ""HCP_A3#2"": 0.002408035423099811}",14
0.961,0.005,0.021,0.006,0.007,0.961,0.005,0.021,0.006,0.007,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9947411410624681, ""FCC_L12#1"": 0.000635158992346451, ""HCP_A3#1"": 0.0019357896089785193, ""HCP_A3#2"": 0.0026879103362066727}",14
0.975,0.004,0.006,0.005,0.01,0.975,0.004,0.006,0.005,0.01,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9939356252504252, ""FCC_L12#1"": 0.0006466774005127738, ""HCP_A3#1"": 0.0031257850958722917, ""HCP_A3#2"": 0.002291912253190003}",14
0.969,0.004,0.005,0.009000000000000001,0.013000000000000001,0.969,0.004,0.005,0.009000000000000001,0.013000000000000001,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9866601446796174, ""C15_LAVES#1"": 0.0069781305502803655, ""FCC_L12#1"": 0.0006565531891591622, ""HCP_A3#1"": 0.0032846951924093426, ""HCP_A3#2"": 0.0024204763885339203}",14
